"","flipper_length_mm","body_mass_g"
"1",211,4500
"2",210,4450
"3",210,4550
"4",211,4800
"5",209,4400
"6",214,4650
"7",214,4650
"8",210,4200
"9",210,4150
"10",209,4800
"11",215,5000
"12",213,4400
"13",215,5000
"14",210,4600
"15",209,4700
"16",207,5050
"17",220,5150
"18",213,4950
"19",208,4350
"20",208,3950
"21",210,4300
"22",217,4900
"23",210,4200
"24",213,5100
"25",210,4850
"26",210,4400
"27",217,4900
"28",208,4300
"29",208,4450
"30",208,4200
"31",214,4400
"32",219,4700
"33",220,4700
"34",216,4750
"35",217,5200
"36",216,4700
"37",209,4600
"38",215,4750
"39",212,4625
"40",212,4725
"41",212,4750
"42",218,4600
"43",212,4875
"44",218,4950
"45",212,4750
"46",214,4850
"47",222,4875
"48",203,4625
"49",219,4850
"50",215,4975
"51",210,4700
"52",208,4575
"53",216,5000
"54",213,4650
"55",217,4375
"56",214,4925
"57",215,4850
"58",212,5200
